,name,host_id,host_name,host_is_superhost,host_listings_count,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_ct,days_as_host,bathrooms,hrr
2,private room @Senju area,5686404,Yukiko,Superhost,2.0,35.74437,139.79739,Private room in house,Private room,2,1.0,0.0,30000.0,1,90,270,72,4.56,4.78,4.61,4.84,4.84,4.34,4.62,0.8,30,3034,1.0,1.0
3,Home stay with a Japanese language teacher family.,6018145,Mari,Superhost,3.0,35.69233,139.70851,Private room in house,Private room,3,1.0,3.0,11312.0,1,1124,365,252,4.9,4.9,4.94,4.95,4.93,4.85,4.92,2.8,43,3012,1.0,1.0
4,Stay with host Cozy private room Senju area,5686404,Yukiko,Superhost,2.0,35.74475,139.79731,Private room in house,Private room,2,1.0,2.0,3000.0,2,30,88,95,4.71,4.87,4.75,4.92,4.88,4.67,4.75,1.01,32,3034,1.0,1.0
5,Unique stay! New&1min to the subway,6809418,Yume,Superhost,1.0,35.65111,139.72165,Entire house,Entire home/apt,3,1.0,1.0,32000.0,4,1125,335,102,4.96,4.97,4.98,4.96,4.89,4.98,4.91,1.54,50,2963,1.0,1.0
7,Pine House 2 Bed Room + 2 Toilets,6606987,K & N,Superhost,3.0,35.73987,139.85176,Entire house,Entire home/apt,4,2.0,4.0,14857.0,4,30,327,339,4.93,4.94,4.97,4.96,4.96,4.73,4.88,3.86,31,2976,2.5,1.0
8,3rd floor penthouse @ heart of TKO,7103955,Masaharu,Superhost,11.0,35.70263,139.74147,Entire apartment,Entire home/apt,2,1.0,1.0,48000.0,3,180,218,162,4.94,4.94,4.96,4.97,4.96,4.94,4.78,2.14,19,2947,1.0,0.78
9,Renewal! Solar power/Car space/near to park,5710367,David,Non-Superhost,7.0,35.62039,139.69983,Entire house,Entire home/apt,11,3.0,11.0,25000.0,2,90,111,225,4.76,4.68,4.5,4.88,4.94,4.66,4.71,2.34,39,3032,4.0,1.0
10,Room in Mejiro/Ikebukuro (2 of 3),7537357,Yayoi,Non-Superhost,0.0,35.72415,139.70151,Private room in house,Private room,2,1.0,2.0,4000.0,3,1125,87,225,4.7,4.78,4.63,4.85,4.88,4.75,4.74,2.67,19,2925,2.0,1.0
11,Room in Mejiro/Ikebukuro (3 of 3),7537357,Yayoi,Non-Superhost,0.0,35.7241,139.70343,Private room in house,Private room,2,1.0,2.0,4000.0,3,1125,326,220,4.67,4.74,4.56,4.85,4.89,4.73,4.69,2.39,18,2925,2.0,1.0
12,Wahuu Style APT + Free Portable Wi-Fi,7740848,K Family,Superhost,8.0,35.7362,139.85178,Entire apartment,Entire home/apt,5,1.0,5.0,17571.0,3,30,336,304,4.93,4.94,4.96,4.94,4.96,4.73,4.92,3.79,31,2916,1.5,1.0
13,Shinjuku Sharehouse Private Tatami room  8F,8142772,Min & Haru,Superhost,13.0,35.69857,139.704,Private room in apartment,Private room,3,1.0,0.0,40000.0,2,30,270,156,4.85,4.8,4.75,4.91,4.94,4.81,4.75,1.64,28,2898,1.0,1.0
14,Shinjuku Sharehouse Private Tatami room & Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70432,Private room in apartment,Private room,3,1.0,0.0,40000.0,2,1125,270,130,4.84,4.83,4.73,4.9,4.94,4.88,4.77,1.36,27,2898,1.0,1.0
15,Shinjuku ShareHouse Dormitory5  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69847,139.70433,Shared room in apartment,Shared room,9,1.0,9.0,50000.0,2,30,270,168,4.81,4.82,4.73,4.92,4.95,4.82,4.76,1.8,26,2898,1.0,1.0
16,Shinjuku ShareHouse Dormitory6  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70433,Shared room in apartment,Shared room,9,1.0,0.0,50000.0,2,1125,270,141,4.81,4.8,4.85,4.96,4.97,4.88,4.76,1.52,26,2898,1.0,1.0
19,Home stay with a Japanese language teacher family,6018145,Mari,Superhost,3.0,35.6944,139.70727,Private room in house,Private room,2,1.0,2.0,11310.0,1,1124,336,245,4.91,4.87,4.91,4.94,4.93,4.9,4.93,2.61,43,3012,1.0,1.0
20,30sec Sta.nearSUMO AKB Shinjuku BD,8660693,Soichi,Non-Superhost,10.0,35.68955,139.81605,Private room in apartment,Private room,1,1.0,1.0,2000.0,30,1125,140,115,4.39,4.48,4.18,4.79,4.62,4.69,4.54,1.52,24,2875,1.0,1.0
22,Stylish Apartment in Tokyo with Rooftop & Blue Sky,10294366,Ryusuke,Superhost,2.0,35.63858,139.64624,Entire condominium,Entire home/apt,10,3.0,7.0,20000.0,2,180,248,105,4.9,4.91,4.86,4.98,4.98,4.7,4.91,1.19,39,2792,2.0,1.0
23,"Roppongi Villa,7min/ROPPONGIstatn.",10415965,Azabu,Superhost,3.0,35.65819,139.72722,Entire house,Entire home/apt,14,4.0,9.0,181357.0,3,365,20,170,4.74,4.83,4.67,4.8,4.89,4.87,4.6,1.93,41,2786,2.5,1.0
24,Stunning home in central Tokyo,11046932,The Dawson Family,Superhost,1.0,35.65094,139.73486,Entire house,Entire home/apt,9,4.0,9.0,100000.0,7,1000,83,240,4.92,4.91,4.83,4.93,4.94,4.85,4.81,3.37,45,2753,2.5,1.0
25,"Blissful Retreat near Shinjuk, Koenji, Shimokita!",9203725,Memz And Taki,Non-Superhost,5.0,35.67273,139.65974,Entire apartment,Entire home/apt,5,1.0,3.0,17714.0,1,365,365,9,4.89,4.89,4.78,4.89,4.89,4.67,4.67,0.17,30,2847,1.0,1.0
26,＊C＊Tranquil Studio with Loft&WIFI near Shinjuku !,9203725,Memz And Taki,Non-Superhost,5.0,35.67273,139.65974,Entire apartment,Entire home/apt,4,1.0,3.0,17714.0,1,365,276,16,5.0,4.94,5.0,5.0,5.0,5.0,5.0,0.21,28,2847,1.0,1.0
27,Spacious! Shibuya House w/Garden,11430874,Kako & Keiko,Superhost,1.0,35.67191,139.68367,Private room in house,Private room,3,1.0,0.0,27000.0,1,30,332,157,4.94,4.92,4.82,4.97,4.99,4.95,4.85,1.78,28,2739,2.0,1.0
28,30sec Sta. AKB Shinjuku Shibuya 206,8660693,Soichi,Non-Superhost,10.0,35.68931,139.81406,Private room in apartment,Private room,2,1.0,1.0,2200.0,30,1125,47,42,4.36,4.6,4.14,4.53,4.59,4.8,4.55,0.6,21,2875,0.5,1.0
29,Shinjuku Sharehouse Private Tatami Room III 8F,8142772,Min & Haru,Superhost,13.0,35.69847,139.70433,Private room in apartment,Private room,3,1.0,0.0,40000.0,2,1125,270,82,4.75,4.63,4.69,4.88,4.92,4.76,4.69,1.0,27,2898,1.0,1.0
30,Shinjuku ShareHouse Dormitory2  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70433,Shared room in apartment,Shared room,9,1.0,9.0,50000.0,2,1125,270,158,4.81,4.81,4.76,4.95,4.99,4.8,4.82,2.08,25,2898,1.0,1.0
31,Shinjuku ShareHouse Dormitory1  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70435,Shared room in apartment,Shared room,9,1.0,9.0,50000.0,2,1125,270,71,4.72,4.7,4.77,4.94,4.89,4.77,4.65,0.83,26,2898,1.0,1.0
32,Shinjuku ShareHouse Dormitory4  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69848,139.70433,Shared room in apartment,Shared room,9,1.0,0.0,50000.0,2,1125,270,73,4.75,4.86,4.7,4.9,4.92,4.83,4.76,0.86,26,2898,1.0,1.0
33,30sec Sta.nearSUMO AKB Shinjuku,8660693,Soichi,Non-Superhost,10.0,35.68886,139.8144,Private room in apartment,Private room,3,1.0,3.0,2600.0,30,1111,249,90,4.36,4.51,4.37,4.76,4.6,4.71,4.51,1.05,19,2875,0.5,1.0
34,11mins to Fussa station by train and 6mins walk!,13465066,Tomoyuki&Maki,Superhost,2.0,35.70569,139.37936,Entire guest suite,Entire home/apt,2,1.0,1.0,6117.0,3,120,278,30,4.72,4.86,4.45,4.9,5.0,4.46,4.75,0.45,25,2676,1.0,1.0
35,Work desk/Central TKO/Discover local life&culture,4839990,Toshiyuki,Superhost,0.0,35.72035,139.76445,Private room in house,Private room,2,1.0,1.0,5000.0,4,90,88,76,4.87,4.93,4.89,4.93,4.99,4.89,4.88,1.25,32,3098,2.0,1.0
37,東京下町生活,6969809,Kota,Non-Superhost,2.0,35.72208,139.78049,Hut,Entire home/apt,6,2.0,6.0,22000.0,1,90,358,254,4.76,4.9,4.86,4.94,4.91,4.81,4.78,2.99,27,2955,1.0,1.0
39,Cozy room in the City,15397951,Kay,Non-Superhost,3.0,35.72097,139.69196,Private room in house,Private room,2,1.0,2.0,5500.0,50,1125,364,111,4.59,4.75,4.5,4.65,4.68,4.44,4.64,1.38,23,2627,1.0,0.0
40,"""HirooHouse"",3Rm, 6 guests, 2minWalk/HIROO Stn.",10415965,Azabu,Superhost,3.0,35.65174,139.72175,Entire house,Entire home/apt,6,2.0,4.0,28986.0,3,365,355,121,4.74,4.74,4.74,4.89,4.91,4.96,4.52,1.49,38,2786,1.5,1.0
41,Experience normal Japan life 1,16241464,Kaori,Superhost,2.0,35.78156,139.63309,Entire apartment,Entire home/apt,2,1.0,0.0,4500.0,1,90,93,85,4.76,4.79,4.61,4.81,4.85,4.61,4.78,1.2,35,2606,1.0,1.0
42,Factory Roof-Top! +Portable Wi-Fi,6606987,K & N,Superhost,3.0,35.73862,139.8515,Private room in house,Private room,2,1.0,2.0,16000.0,3,30,0,319,4.92,4.95,4.96,4.97,4.94,4.67,4.88,3.77,30,2976,2.0,1.0
43,Experience normal Japan life 2,16241464,Kaori,Superhost,2.0,35.77932,139.63338,Entire apartment,Entire home/apt,2,1.0,0.0,4500.0,1,90,50,49,4.58,4.8,4.5,4.93,4.81,4.6,4.64,0.73,29,2606,1.5,1.0
44,"PIC UP SRVC PROVIDED, 1 MINU TO GROCERY STORE",16973429,Hirano San,Non-Superhost,2.0,35.7223,139.80049,Entire apartment,Entire home/apt,4,1.0,4.0,9000.0,5,1125,200,125,4.72,4.82,4.58,4.95,4.96,4.56,4.79,1.57,25,2589,1.0,1.0
45,Beautiful and peaceful residence,15397951,Kay,Non-Superhost,3.0,35.72154,139.69228,Private room in house,Private room,2,1.0,1.0,5000.0,50,1125,141,99,4.38,4.47,4.35,4.51,4.53,4.21,4.49,1.29,24,2627,1.0,0.0
46,アジアンミックステイストの癒される空間,17018818,Miri,Non-Superhost,1.0,35.61728,139.6679,Entire apartment,Entire home/apt,2,1.0,2.0,6800.0,2,1125,356,135,4.57,4.7,4.44,4.74,4.87,4.38,4.62,1.6,22,2588,1.0,1.0
47,Perfect room for student,15397951,Kay,Non-Superhost,3.0,35.72104,139.69082,Private room in house,Private room,1,1.0,1.0,4500.0,50,1125,243,64,4.63,4.69,4.58,4.71,4.77,4.47,4.68,0.94,16,2627,1.0,0.0
49,Seidokan ．experience the rich history of Japan!,17694529,Hisao,Superhost,9.0,35.72672,139.78201,Entire apartment,Entire home/apt,2,1.0,2.0,2500.0,1,1125,90,234,4.88,4.88,4.78,4.88,4.89,4.64,4.89,2.92,13,2571,1.0,1.0
50,"Feel ""Belong Anywhere"" in Tokyo. 30min to Shinjuku",11583876,Ken,Superhost,6.0,35.58911,139.48023,Entire apartment,Entire home/apt,2,1.0,2.0,5000.0,3,364,325,100,4.85,4.89,4.86,4.97,4.99,4.67,4.88,1.21,40,2735,1.0,1.0
51,Modern Japanese house w/ garden,15514130,Tomo,Non-Superhost,1.0,35.72784,139.73408,Entire house,Entire home/apt,6,3.0,6.0,19518.0,2,1125,143,162,4.83,4.88,4.75,4.94,4.91,4.83,4.85,2.29,32,2624,1.0,1.0
52,＊A＊Home WIFI! Tranquil Retreat+LOFT near Shinjuku!,9203725,Memz And Taki,Non-Superhost,5.0,35.67276,139.65976,Private room in apartment,Private room,5,1.0,4.0,18571.0,1,365,362,4,5.0,5.0,4.75,5.0,5.0,5.0,4.75,0.08,28,2847,1.0,1.0
53,"Shibuya, near Harajuku 2BR (MDS2BR)",18776800,LiveinAsia,Superhost,18.0,35.67205,139.67877,Entire apartment,Entire home/apt,7,2.0,3.0,31000.0,6,365,153,13,4.62,4.85,4.54,4.85,4.85,4.69,4.62,0.16,23,2553,1.0,0.8
54,Like a Tokyo Local in Equipped 34㎡,5660134,Kengo,Superhost,1.0,35.62012,139.6601,Entire house,Entire home/apt,3,2.0,2.0,11429.0,2,60,52,33,4.97,4.97,4.97,5.0,5.0,4.73,4.88,0.46,32,3036,1.0,1.0
55,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,Non-Superhost,8.0,35.76105,139.716,Entire apartment,Entire home/apt,5,1.0,5.0,3429.0,3,1124,216,210,4.32,4.47,4.34,4.71,4.71,4.43,4.37,2.59,26,2547,1.0,1.0
56,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,Superhost,4.0,35.62942,139.63077,Private room in house,Private room,2,1.0,1.0,32896.0,1,60,122,83,4.98,4.95,5.0,4.95,4.98,4.82,4.98,1.02,28,2544,1.0,1.0
57,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,8142772,Min & Haru,Superhost,13.0,35.69847,139.70432,Private room in apartment,Private room,1,1.0,1.0,20000.0,2,30,270,209,4.9,4.92,4.85,4.98,4.99,4.88,4.85,3.48,28,2898,1.0,1.0
58,PRIVATE ROOM FAMILY OR FRIENDS 10F II,8142772,Min & Haru,Superhost,13.0,35.69848,139.70432,Private room in apartment,Private room,4,1.0,3.0,55000.0,2,30,259,71,4.83,4.84,4.77,4.88,4.94,4.87,4.81,1.16,26,2898,1.0,1.0
59,apartment hotel TASU TOCO,19611972,岩間,Non-Superhost,3.0,35.70293,139.60045,Entire apartment,Entire home/apt,3,1.0,3.0,7750.0,2,1125,309,163,4.72,4.81,4.69,4.96,4.91,4.86,4.67,2.2,31,2539,1.0,1.0
60,SHINJUKU ★Designer Pencil House★ Sanitized,4626879,Sam,Superhost,10.0,35.68245,139.69009,Entire house,Entire home/apt,8,3.0,5.0,23383.0,1,1124,242,173,4.87,4.92,4.91,4.91,4.96,4.85,4.82,2.14,60,3115,1.5,1.0
63,Nishi-Ogikubo 1BR Twin Type-A (SSH1BRT-A) 2F,18776800,LiveinAsia,Superhost,18.0,35.70399,139.59775,Entire apartment,Entire home/apt,4,1.0,2.0,18571.0,3,1125,177,36,4.86,4.86,4.83,4.89,4.89,4.71,4.63,0.49,26,2553,1.0,0.8
64,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,Superhost,3.0,35.64991,139.72204,Entire house,Entire home/apt,8,3.0,6.0,28834.0,3,365,262,131,4.62,4.52,4.73,4.73,4.88,4.89,4.55,1.75,40,2786,1.5,1.0
65,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,Superhost,3.0,35.76577,139.44678,Entire house,Entire home/apt,9,2.0,0.0,5483.0,3,1000,330,133,4.9,4.86,4.87,4.89,4.84,4.74,4.85,1.76,31,2526,1.0,1.0
66,【Itokiyoshi】Ningyo-cho 1min walk,20336856,Ito,Superhost,13.0,35.68577,139.78368,Entire house,Entire home/apt,5,1.0,0.0,7429.0,1,29,295,112,4.78,4.74,4.78,4.87,4.84,4.83,4.8,1.36,30,2526,1.5,1.0
67,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,Superhost,7.0,35.67813,139.67913,Tiny house,Entire home/apt,5,2.0,3.0,14287.0,1,1125,43,87,4.78,4.78,4.72,4.91,4.86,4.86,4.78,1.17,32,3098,1.0,1.0
68,Near Shinagawa Shibuya Haneda,20878710,Daisuke,Non-Superhost,1.0,35.60033,139.73415,Private room in house,Private room,2,1.0,2.0,4886.0,4,1125,102,127,4.39,4.69,4.05,4.74,4.69,4.43,4.46,1.67,20,2512,2.0,1.0
69,「LICENSED」Enjoy Central Tokyo Yamanote Life,6504053,Bryan,Superhost,3.0,35.62633,139.7235,Entire condominium,Entire home/apt,5,2.0,4.0,18000.0,3,180,180,196,4.83,4.92,4.9,4.92,4.94,4.91,4.81,2.41,28,2982,1.5,1.0
70,Airport transfer service&Asakusa traditional house,21004633,Yoshi,Superhost,4.0,35.71433,139.79878,Entire house,Entire home/apt,8,2.0,0.0,31429.0,1,1125,164,480,4.94,4.95,4.93,4.95,4.92,4.93,4.91,5.89,32,2509,1.0,1.0
71,#211 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73417,139.63328,Entire apartment,Entire home/apt,2,1.0,1.0,4605.0,3,1125,90,72,4.68,4.81,4.79,4.83,4.89,4.56,4.61,0.96,14,2571,1.0,1.0
73,S203 30sec Sta.nearSUMO AKB Shinjuku2032,8660693,Soichi,Non-Superhost,10.0,35.69095,139.81417,Private room in apartment,Private room,2,1.0,1.0,2300.0,30,1125,322,78,4.41,4.64,4.14,4.77,4.67,4.66,4.56,0.95,20,2875,0.5,1.0
74,(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,19152993,Sei,Non-Superhost,8.0,35.76094,139.71652,Entire apartment,Entire home/apt,5,1.0,5.0,12050.0,3,1124,147,182,4.57,4.71,4.63,4.81,4.75,4.49,4.63,2.33,29,2547,1.0,1.0
75,Sunny room in residential area in 国分寺 1st Floor,10969488,Como,Non-Superhost,3.0,35.70919,139.48074,Private room in house,Private room,2,1.0,0.0,2786.0,2,1125,353,52,4.84,4.78,4.71,4.88,4.86,4.41,4.8,0.68,27,2756,1.5,1.0
76,Nishi-Ogikubo 1BR Twin Type-B (SSH1BRT-B) 2F,18776800,LiveinAsia,Superhost,18.0,35.70399,139.59775,Entire apartment,Entire home/apt,5,1.0,2.0,13500.0,3,1125,221,27,4.74,4.89,4.85,4.85,4.78,4.89,4.63,0.37,25,2553,1.0,0.8
77,Nishi-Ogikubo 1BR Roomy (SSH1BRR) 5F,18776800,LiveinAsia,Superhost,18.0,35.70399,139.59775,Entire apartment,Entire home/apt,4,1.0,1.0,17000.0,3,1125,221,23,4.57,4.7,4.61,4.86,4.7,4.77,4.59,0.34,25,2553,1.0,0.8
78,Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),23202702,Teruko,Superhost,1.0,35.74576,139.75222,Entire apartment,Entire home/apt,5,2.0,5.0,8000.0,7,180,87,96,4.93,4.98,4.93,4.99,4.99,4.63,4.83,1.44,37,2453,1.0,1.0
79,(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,Non-Superhost,8.0,35.76111,139.71576,Entire apartment,Entire home/apt,5,1.0,5.0,13710.0,3,1124,0,198,4.49,4.65,4.48,4.74,4.68,4.46,4.53,2.63,27,2547,1.0,1.0
80,"3persons Hino room #2, Shinjuku28min Shibuya38min",23416902,Naga,Non-Superhost,2.0,35.68587,139.39428,Entire apartment,Entire home/apt,3,1.0,3.0,11460.0,5,9,364,35,4.53,4.76,4.5,4.71,4.74,4.5,4.79,0.68,31,2448,1.0,1.0
81,Reversible Destiny Lofts/for2people,23871736,Matsuda,Non-Superhost,2.0,35.68002,139.53689,Private room in apartment,Private room,2,1.0,0.0,22857.0,3,30,162,23,5.0,4.96,4.91,4.96,5.0,4.57,4.78,0.39,32,2437,1.0,1.0
82,Furnished Private Apt.213,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73414,139.63305,Entire apartment,Entire home/apt,2,1.0,1.0,4605.0,3,1125,90,73,4.82,4.85,4.85,4.95,4.92,4.78,4.82,0.95,14,2571,1.0,1.0
83,Reversible Destiny Lofts/for4people,23871736,Matsuda,Non-Superhost,2.0,35.6818,139.53855,Entire apartment,Entire home/apt,4,2.0,0.0,22000.0,3,30,152,35,4.88,4.94,4.94,5.0,5.0,4.34,4.69,0.73,33,2437,1.0,1.0
84,"To Shinjuku,Shibuya,Ghibli,and Mt.Takao,Okutama(2)",22643572,Sachiko&Kurara,Non-Superhost,2.0,35.75851,139.47982,Shared room in house,Shared room,2,1.0,0.0,4070.0,4,180,363,3,5.0,5.0,5.0,5.0,5.0,4.67,5.0,0.04,27,2468,0.5,0.0
86,4persons! Shinjuku30min Tokyo45min!,23416902,Naga,Non-Superhost,2.0,35.68548,139.39496,Entire apartment,Entire home/apt,3,1.0,3.0,11731.0,5,9,364,44,4.45,4.52,4.34,4.84,4.8,4.42,4.53,0.6,32,2448,1.0,1.0
87,*NEW*TOKYO HOUSE group&family upto7 & carpark WIFI,9782688,Kevin,Superhost,5.0,35.73055,139.68657,Entire townhouse,Entire home/apt,7,3.0,4.0,14780.0,3,1125,322,142,4.61,4.79,4.65,4.73,4.79,4.56,4.54,1.85,34,2816,1.0,1.0
88,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,Superhost,2.0,35.72804,139.79048,Entire apartment,Entire home/apt,5,1.0,2.0,10000.0,1,365,233,267,4.95,4.93,4.94,4.98,4.98,4.89,4.92,3.51,34,2443,1.0,1.0
92,(1) 5ppl 2bank beds 11mins Shinjuku. -JR Jujo Sta.,19152993,Sei,Non-Superhost,8.0,35.76117,139.71597,Entire apartment,Entire home/apt,5,1.0,4.0,2687.0,3,1124,263,191,4.5,4.7,4.41,4.73,4.63,4.41,4.61,2.5,29,2547,1.0,1.0
93,J's APT 2 Bed Rooms + Free Portable Wi-Fi,7740848,K Family,Superhost,8.0,35.73809,139.85124,Entire apartment,Entire home/apt,4,2.0,4.0,17857.0,4,30,336,285,4.91,4.89,4.96,4.94,4.94,4.65,4.88,3.72,32,2916,1.5,1.0
94,Cedar APT  +  Free Pocket Wi-Fi,7740848,K Family,Superhost,8.0,35.73816,139.85174,Entire apartment,Entire home/apt,6,1.0,3.0,16000.0,4,30,318,267,4.93,4.95,4.95,4.95,4.92,4.68,4.89,3.4,29,2916,1.5,1.0
95,SHIBUYA SHINJUKU  Hatagaya Station 5 minutes#103,25370510,Mitsuko,Superhost,6.0,35.67923,139.67571,Entire apartment,Entire home/apt,3,1.0,2.0,3957.0,1,1125,350,165,4.6,4.73,4.76,4.9,4.88,4.61,4.66,2.59,28,2395,1.0,1.0
96,New House 100㎡ near metro happy!!!!,23595333,Keiko,Superhost,2.0,35.72951,139.79137,Entire house,Entire home/apt,6,2.0,3.0,48000.0,1,1125,323,257,4.92,4.93,4.87,4.95,4.95,4.86,4.85,3.5,40,2443,1.0,1.0
97,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 観光ショッピングに便利！,25370510,Mitsuko,Superhost,6.0,35.68068,139.6753,Entire apartment,Entire home/apt,2,1.0,2.0,17714.0,1,1125,197,269,4.49,4.58,4.73,4.77,4.79,4.64,4.52,3.41,30,2395,1.0,1.0
98,#203 新宿/渋谷　テレワーク/受験生/NURO光 FREE WIFI/感染対策済み/駅近,25370510,Mitsuko,Superhost,6.0,35.67933,139.67511,Entire apartment,Entire home/apt,2,1.0,2.0,8357.0,1,1125,0,227,4.59,4.69,4.78,4.79,4.83,4.59,4.63,3.03,27,2395,1.0,1.0
99,Traditional Zen house in Harajuku,25523994,Miwako,Superhost,1.0,35.67129,139.71021,Entire apartment,Entire home/apt,4,2.0,4.0,52634.0,4,28,62,107,4.94,4.88,4.97,4.99,4.99,4.96,4.77,1.41,26,2390,1.0,1.0
100,Convenient charming house,20993205,Seiichi & Keiko,Superhost,1.0,35.73673,139.88586,Private room in house,Private room,4,1.0,4.0,5000.0,3,29,179,100,5.0,4.99,4.98,4.98,4.99,4.8,5.0,1.3,32,2509,1.0,1.0
101,Private Cozy Apt. 111 in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73496,139.63132,Entire apartment,Entire home/apt,2,1.0,0.0,8224.0,3,1125,90,74,4.82,4.92,4.88,4.96,4.93,4.78,4.82,0.95,20,2571,1.0,1.0
103,家族でのご利用にお得なおしゃれな一軒家、まるまるプラン。,26509472,里枝,Non-Superhost,2.0,35.66669,139.42091,Private room in house,Private room,3,1.0,3.0,20000.0,1,1125,174,3,4.67,4.67,4.67,4.67,4.67,4.0,4.33,0.09,21,2371,1.0,1.0
104,Shinjuku ShareHouse Dormitory3  with Balcony,8142772,Min & Haru,Superhost,13.0,35.69872,139.70276,Shared room in apartment,Shared room,9,1.0,0.0,50000.0,2,30,270,134,4.86,4.84,4.84,4.96,4.98,4.89,4.81,1.8,26,2898,1.0,1.0
105,Wonderful Japanese style OTOME! (*´ω｀),25911199,Aya,Superhost,3.0,35.72129,139.76323,Entire house,Entire home/apt,7,2.0,5.0,23000.0,1,120,64,35,4.86,4.91,4.91,5.0,5.0,4.74,4.76,0.53,29,2383,1.0,1.0
107,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73404,139.63128,Entire apartment,Entire home/apt,2,1.0,1.0,4605.0,3,1125,90,87,4.84,4.91,4.85,4.92,4.97,4.7,4.8,1.16,18,2571,1.0,1.0
109,"Hiroo - 8 person, 4 bedroom & 2 bath family apart",15330352,Lauren & Tats,Non-Superhost,2.0,35.64703,139.72973,Entire apartment,Entire home/apt,8,4.0,5.0,39286.0,30,90,128,118,4.91,4.94,4.84,4.88,4.85,4.79,4.87,2.0,39,2628,2.0,0.5
110,Private Cozy Apt in Tokyo 413,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73445,139.63139,Entire apartment,Entire home/apt,2,1.0,1.0,4605.0,3,1125,90,52,4.85,4.96,4.88,4.92,4.85,4.65,4.81,0.72,16,2571,1.0,1.0
111,Private Cozy Apt in Tokyo 311,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.73588,139.63159,Entire apartment,Entire home/apt,2,1.0,1.0,6031.0,3,1125,90,117,4.84,4.87,4.91,4.96,4.91,4.59,4.75,1.54,14,2571,1.0,1.0
114,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,Superhost,8.0,35.69346,139.70823,Entire apartment,Entire home/apt,5,1.0,4.0,8000.0,2,365,150,285,4.94,4.94,4.92,4.96,4.97,4.82,4.88,3.78,36,2342,1.0,1.0
116,One Room Apartment with own bathroom (A3),25865449,Seungkwan,Non-Superhost,19.0,35.70122,139.70571,Entire apartment,Entire home/apt,3,1.0,3.0,11514.0,3,30,322,15,4.27,4.47,4.27,4.87,4.87,4.73,4.13,0.42,30,2384,1.0,1.0
121,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,Insta-Homes,Superhost,7.0,35.73172,139.66583,Private room in house,Private room,2,1.0,1.0,7286.0,1,1125,0,208,4.85,4.89,4.91,4.93,4.89,4.71,4.86,3.56,33,2329,1.5,1.0
122,One-Room Apartment with Own Bathroom (A5-1),25865449,Seungkwan,Non-Superhost,19.0,35.70019,139.70523,Entire apartment,Entire home/apt,5,1.0,3.0,16914.0,3,30,266,16,4.56,4.56,4.5,4.88,4.75,4.88,4.75,0.27,29,2384,1.0,1.0
123,Two-bedroom Apartment with Own Bathroom,25865449,Seungkwan,Non-Superhost,19.0,35.70041,139.70621,Private room in house,Private room,6,2.0,4.0,16200.0,3,30,322,14,4.57,4.71,4.07,4.71,4.71,4.71,4.36,0.47,20,2384,1.0,1.0
124,Furnished Private Apt. 412 www.airbnb.jp/c/a87d19,17736560,ﾀﾂﾛｳ (Taturo),Superhost,10.0,35.7359,139.63151,Entire apartment,Entire home/apt,2,1.0,0.0,6579.0,3,1125,90,39,4.85,4.9,4.95,4.92,4.95,4.64,4.74,0.53,15,2571,1.0,1.0
